Número de viajeros;Edad_media_viajeros;cantidad de niños;País_origen;Ingreso Familiar;Motivo Viaje;Presupuesto Viaje;Fecha Viaje;País Destino;;;;;;;;;;;
2;50;4;España;2695;Ocio;2741;29-06-21;Estados Unidos;;;;;;;;;;;
1;44;2;España;2684;Negocios;2159;02-04-22;Reino Unido;;;;;;;;;;;
3;47;2;México;2335;Negocios;1292;04-04-20;Estados Unidos;;;;;;;;;;;
4;36;2;México;2111;Ocio;1080;06-02-20;Canadá;;;;;;;;;;;
2;36;3;España;2706;Ocio;1097;22-08-22;Suiza;;;;;;;;;;;
2;37;2;México;2110;Otros;1391;07-01-21;Cuba;;;;;;;;;;;
4;30;2;México;2123;Ocio;1074;14-03-21;España;;;;;;;;;;;
4;31;3;México;2335;Negocios;1380;03-04-19;España;;;;;;;;;;;
2;43;1;México;2070;Negocios;1464;04-04-20;Colombia;;;;;;;;;;;
3;34;1;Chile;3209;Otros;2352;27-02-21;Argentina;;;;;;;;;;;
3;42;1;México;2351;Negocios;1034;18-02-21;Colombia;;;;;;;;;;;
2;30;3;Chile;3128;Ocio;1920;08-02-22;Estados Unidos;;;;;;;;;;;
3;33;3;México;2332;Otros;1075;02-04-20;Canadá;;;;;;;;;;;
4;47;4;España;2793;Ocio;2585;04-04-21;Suiza;;;;;;;;;;;
1;40;2;Chile;2573;Negocios;2592;27-12-19;Colombia;;;;;;;;;;;
1;46;4;México;2207;Otros;1138;11-01-20;Estados Unidos;;;;;;;;;;;
2;43;2;México;2200;Negocios;1311;01-04-21;Estados Unidos;;;;;;;;;;;
1;42;1;Chile;2850;Otros;2400;11-03-23;Colombia;;;;;;;;;;;
2;48;3;España;2777;Negocios;2969;06-04-19;Alemania;;;;;;;;;;;
1;39;3;España;2807;Ocio;2310;01-04-19;Francia;;;;;;;;;;;
2;32;1;Chile;2586;Otros;2989;14-02-22;Estados Unidos;;;;;;;;;;;
2;41;1;México;2091;Negocios;1427;03-04-21;Colombia;;;;;;;;;;;
1;45;3;México;2352;Negocios;1136;01-04-20;España;;;;;;;;;;;
4;35;4;Chile;2682;Otros;1820;30-01-21;Argentina;;;;;;;;;;;
3;37;4;México;2027;Negocios;1192;15-03-22;Estados Unidos;;;;;;;;;;;
2;49;3;México;2207;Ocio;1400;22-02-20;Cuba;;;;;;;;;;;
2;46;1;Chile;2736;Negocios;2948;04-04-21;Argentina;;;;;;;;;;;
4;42;2;Chile;2567;Otros;2168;07-01-22;Estados Unidos;;;;;;;;;;;
1;50;4;México;2367;Otros;1192;30-01-23;Canadá;;;;;;;;;;;
4;43;2;España;2697;Ocio;1004;03-04-20;Estados Unidos;;;;;;;;;;;
3;36;1;Chile;2842;Negocios;2976;18-03-21;Argentina;;;;;;;;;;;
2;34;3;Chile;3175;Negocios;2374;28-12-20;Colombia;;;;;;;;;;;
2;39;2;España;2806;Negocios;1551;06-09-20;Estados Unidos;;;;;;;;;;;
4;34;1;Chile;2633;Ocio;2249;06-04-22;Brasil;;;;;;;;;;;
1;42;4;México;2076;Negocios;1329;04-04-22;Cuba;;;;;;;;;;;
2;47;4;Chile;3194;Ocio;2838;18-03-23;Perú;;;;;;;;;;;
3;42;2;Chile;3048;Otros;2285;07-04-19;Argentina;;;;;;;;;;;
2;49;3;Chile;2676;Negocios;1853;01-04-21;Perú;;;;;;;;;;;
2;40;2;Chile;2771;Negocios;2748;01-01-21;Colombia;;;;;;;;;;;
2;42;2;Chile;3145;Ocio;1837;15-03-20;Brasil;;;;;;;;;;;
4;34;1;Chile;2678;Negocios;2258;20-02-20;Brasil;;;;;;;;;;;
1;30;1;España;2630;Negocios;2461;27-08-20;Suiza;;;;;;;;;;;
2;33;4;España;2507;Negocios;1454;30-06-22;Estados Unidos;;;;;;;;;;;
4;37;1;México;2276;Otros;1406;06-04-19;España;;;;;;;;;;;
1;31;1;España;2477;Negocios;2000;01-04-20;Francia;;;;;;;;;;;
1;41;3;México;2209;Ocio;1500;14-03-21;Estados Unidos;;;;;;;;;;;
4;32;1;México;2034;Ocio;1024;23-02-20;Estados Unidos;;;;;;;;;;;
4;46;3;México;2419;Ocio;1155;07-04-21;Colombia;;;;;;;;;;;
2;32;3;España;2554;Negocios;2839;28-06-22;Alemania;;;;;;;;;;;
4;50;3;Chile;2729;Ocio;2593;22-02-22;Brasil;;;;;;;;;;;
2;40;2;México;2292;Negocios;1426;08-03-21;Canadá;;;;;;;;;;;
4;47;3;Chile;2809;Negocios;1652;01-04-19;Argentina;;;;;;;;;;;
1;44;2;México;2192;Negocios;1397;03-04-22;España;;;;;;;;;;;
3;39;2;Chile;2954;Negocios;2540;20-02-20;Estados Unidos;;;;;;;;;;;
4;43;1;México;2392;Otros;1318;02-04-21;Colombia;;;;;;;;;;;
2;40;2;Chile;2750;Negocios;2756;17-02-21;Estados Unidos;;;;;;;;;;;
4;39;1;Chile;3080;Negocios;2259;07-04-22;Argentina;;;;;;;;;;;
1;32;3;España;2536;Ocio;1865;06-04-20;Francia;;;;;;;;;;;
4;50;3;Chile;2952;Negocios;1838;07-02-23;Brasil;;;;;;;;;;;
1;47;2;México;2203;Ocio;1118;23-01-20;Estados Unidos;;;;;;;;;;;
4;31;3;México;2104;Negocios;1388;04-04-22;Cuba;;;;;;;;;;;
2;46;4;España;2604;Ocio;1340;29-08-21;Francia;;;;;;;;;;;
4;49;3;México;2078;Ocio;1430;01-04-22;Cuba;;;;;;;;;;;
1;30;1;México;2292;Otros;1065;06-04-22;Cuba;;;;;;;;;;;
3;42;1;Chile;3078;Negocios;2841;05-04-22;Brasil;;;;;;;;;;;
1;42;3;España;2721;Negocios;2971;03-09-20;Estados Unidos;;;;;;;;;;;
3;35;2;España;2697;Otros;1119;04-04-22;Estados Unidos;;;;;;;;;;;
3;33;1;México;2269;Negocios;1383;21-01-21;Cuba;;;;;;;;;;;
4;45;3;Chile;2614;Negocios;1810;08-01-22;Estados Unidos;;;;;;;;;;;
4;39;4;México;2054;Negocios;1118;07-04-19;España;;;;;;;;;;;
2;43;3;México;2387;Negocios;1373;06-04-22;Cuba;;;;;;;;;;;
1;46;1;México;2055;Ocio;1172;19-02-21;Canadá;;;;;;;;;;;
4;44;3;Chile;2791;Negocios;2778;07-04-22;Estados Unidos;;;;;;;;;;;
2;31;3;Chile;2682;Ocio;1847;03-04-22;Argentina;;;;;;;;;;;
1;40;2;España;2456;Ocio;2162;22-06-22;Francia;;;;;;;;;;;
4;45;4;México;2227;Negocios;1411;17-03-22;Cuba;;;;;;;;;;;
3;47;3;España;2604;Negocios;2478;04-04-22;Suiza;;;;;;;;;;;
2;45;4;México;2327;Negocios;1075;05-04-20;Estados Unidos;;;;;;;;;;;
1;47;1;Chile;2687;Ocio;2391;28-12-22;Perú;;;;;;;;;;;
3;46;3;España;2586;Negocios;2918;06-04-21;Estados Unidos;;;;;;;;;;;
2;31;2;España;2489;Negocios;2578;29-07-21;Francia;;;;;;;;;;;
3;33;4;México;2270;Ocio;1110;04-04-22;Canadá;;;;;;;;;;;
2;48;4;España;2699;Negocios;1061;07-07-22;Estados Unidos;;;;;;;;;;;
3;45;3;Chile;2761;Otros;2419;01-04-20;Perú;;;;;;;;;;;
2;35;2;España;2774;Otros;1828;30-08-22;Estados Unidos;;;;;;;;;;;
1;41;1;Chile;3001;Otros;1690;23-02-20;Colombia;;;;;;;;;;;
3;37;1;España;2777;Otros;1933;05-04-20;Estados Unidos;;;;;;;;;;;
2;36;2;Chile;2767;Negocios;1929;19-01-20;Colombia;;;;;;;;;;;
3;45;3;México;2277;Negocios;1128;05-04-20;España;;;;;;;;;;;
4;30;4;Chile;2624;Otros;2552;09-02-23;Perú;;;;;;;;;;;
2;36;3;España;2470;Negocios;1331;01-04-19;Estados Unidos;;;;;;;;;;;
2;34;2;España;2477;Ocio;2851;01-04-19;Alemania;;;;;;;;;;;
1;40;3;España;2786;Negocios;1332;02-04-19;Francia;;;;;;;;;;;
3;33;4;México;2023;Ocio;1415;16-02-23;España;;;;;;;;;;;
4;36;1;México;2373;Negocios;1345;25-12-22;Canadá;;;;;;;;;;;
4;33;3;México;2268;Ocio;1483;03-02-23;Canadá;;;;;;;;;;;
2;50;1;México;2045;Negocios;1222;07-04-21;Canadá;;;;;;;;;;;
1;48;3;España;2563;Negocios;2262;18-07-21;Francia;;;;;;;;;;;
2;43;3;Chile;2865;Ocio;2639;01-04-22;Argentina;;;;;;;;;;;
4;43;2;Chile;2779;Otros;2437;07-04-20;Brasil;;;;;;;;;;;
3;49;1;México;2094;Otros;1159;05-04-20;Estados Unidos;;;;;;;;;;;
3;41;4;Chile;2826;Negocios;2816;12-01-20;Perú;;;;;;;;;;;
1;46;1;Chile;3027;Ocio;2037;03-04-21;Argentina;;;;;;;;;;;
1;37;4;Chile;2610;Otros;2189;09-01-22;Estados Unidos;;;;;;;;;;;
4;45;4;Chile;2978;Negocios;2527;05-03-21;Estados Unidos;;;;;;;;;;;
2;37;4;España;2803;Otros;2332;29-07-21;Reino Unido;;;;;;;;;;;
2;36;4;México;2266;Otros;1049;02-04-21;Estados Unidos;;;;;;;;;;;
2;39;4;México;2266;Negocios;1076;02-04-20;Estados Unidos;;;;;;;;;;;
2;39;3;México;2118;Otros;1042;07-04-20;España;;;;;;;;;;;
4;49;3;España;2484;Otros;1683;27-06-21;Estados Unidos;;;;;;;;;;;
2;30;4;Chile;2637;Otros;2746;06-02-23;Argentina;;;;;;;;;;;
3;41;3;Chile;2724;Ocio;2348;08-02-23;Perú;;;;;;;;;;;
3;31;2;España;2785;Otros;2899;18-08-21;Alemania;;;;;;;;;;;
4;34;3;México;2160;Ocio;1334;02-04-20;Canadá;;;;;;;;;;;
2;50;4;México;2037;Ocio;1246;05-04-22;Cuba;;;;;;;;;;;
2;37;2;Chile;3116;Negocios;1546;25-01-20;Colombia;;;;;;;;;;;
2;47;1;Chile;3092;Ocio;1608;13-03-23;Perú;;;;;;;;;;;
3;39;4;Chile;3061;Ocio;1872;16-03-20;Estados Unidos;;;;;;;;;;;
4;34;1;México;2201;Ocio;1115;03-02-23;Estados Unidos;;;;;;;;;;;
2;38;4;Chile;3133;Ocio;2858;06-01-23;Estados Unidos;;;;;;;;;;;
3;49;1;Chile;2946;Otros;2027;06-04-20;Colombia;;;;;;;;;;;
4;43;1;Chile;3192;Otros;1799;06-04-19;Colombia;;;;;;;;;;;
1;43;1;Chile;3125;Otros;2632;22-02-23;Brasil;;;;;;;;;;;
2;50;2;España;2791;Negocios;1717;03-04-19;Alemania;;;;;;;;;;;
1;37;3;España;2569;Negocios;2548;14-09-22;Alemania;;;;;;;;;;;
1;35;4;México;2397;Negocios;1037;02-02-21;Cuba;;;;;;;;;;;
1;47;2;Chile;2690;Ocio;2922;16-01-23;Brasil;;;;;;;;;;;
1;38;2;México;2154;Ocio;1214;07-04-19;Estados Unidos;;;;;;;;;;;
2;35;1;Chile;3142;Otros;2467;03-04-21;Perú;;;;;;;;;;;
2;49;3;México;2295;Ocio;1014;02-04-19;España;;;;;;;;;;;
2;42;3;España;2746;Negocios;2448;24-07-21;Alemania;;;;;;;;;;;
3;39;4;Chile;2689;Ocio;1969;24-02-23;Brasil;;;;;;;;;;;
1;34;3;Chile;2938;Ocio;1615;04-04-20;Colombia;;;;;;;;;;;
3;41;1;España;2595;Otros;1502;07-08-19;Alemania;;;;;;;;;;;
4;34;4;España;2630;Ocio;1279;02-04-19;Reino Unido;;;;;;;;;;;
3;32;3;Chile;2795;Ocio;2875;17-01-21;Colombia;;;;;;;;;;;
2;48;3;Chile;3217;Negocios;2584;07-04-21;Argentina;;;;;;;;;;;
4;46;3;México;2260;Ocio;1313;27-12-22;Estados Unidos;;;;;;;;;;;
3;42;1;México;2077;Ocio;1376;15-02-21;Estados Unidos;;;;;;;;;;;
3;43;4;España;2451;Ocio;2298;05-04-22;Alemania;;;;;;;;;;;
1;31;4;México;2048;Negocios;1380;05-01-20;Canadá;;;;;;;;;;;
2;42;1;España;2757;Ocio;2328;22-08-21;Francia;;;;;;;;;;;
3;50;2;España;2661;Ocio;1453;03-04-21;Reino Unido;;;;;;;;;;;
4;44;3;España;2538;Ocio;1947;10-09-20;Francia;;;;;;;;;;;
4;45;3;México;2282;Otros;1060;03-04-22;Canadá;;;;;;;;;;;
1;30;2;México;2149;Negocios;1333;06-04-21;Colombia;;;;;;;;;;;
4;40;3;Chile;2644;Negocios;1804;31-12-20;Argentina;;;;;;;;;;;
3;48;4;Chile;2596;Ocio;1800;02-01-23;Argentina;;;;;;;;;;;
1;41;4;Chile;3028;Otros;2979;11-03-22;Colombia;;;;;;;;;;;
2;40;1;Chile;2696;Negocios;1723;07-04-20;Estados Unidos;;;;;;;;;;;
3;42;4;España;2586;Otros;1792;15-07-20;Suiza;;;;;;;;;;;
4;39;4;España;2645;Otros;1072;14-09-19;Reino Unido;;;;;;;;;;;
1;40;2;España;2672;Otros;2024;15-09-19;Suiza;;;;;;;;;;;
1;49;3;México;2267;Negocios;1261;05-04-19;España;;;;;;;;;;;
4;46;3;Chile;2704;Negocios;2942;04-04-19;Argentina;;;;;;;;;;;
3;38;3;Chile;2628;Ocio;2068;04-04-21;Colombia;;;;;;;;;;;
4;45;1;Chile;3187;Otros;2726;13-02-22;Perú;;;;;;;;;;;
2;42;3;México;2157;Ocio;1499;26-02-20;Cuba;;;;;;;;;;;
3;47;3;Chile;3173;Otros;1650;31-12-20;Perú;;;;;;;;;;;
2;38;4;Chile;2871;Ocio;2801;06-04-22;Brasil;;;;;;;;;;;
4;50;4;México;2039;Negocios;1107;05-04-22;Canadá;;;;;;;;;;;
1;46;2;México;2307;Ocio;1388;02-02-22;Colombia;;;;;;;;;;;
2;49;3;España;2776;Otros;2848;22-06-21;Alemania;;;;;;;;;;;
4;46;4;Chile;2760;Otros;2512;02-04-21;Perú;;;;;;;;;;;
2;44;3;Chile;2983;Negocios;2552;05-04-22;Argentina;;;;;;;;;;;
2;30;2;España;2601;Negocios;1906;02-04-19;Reino Unido;;;;;;;;;;;
4;37;1;México;2408;Ocio;1279;09-02-23;Estados Unidos;;;;;;;;;;;
3;44;4;España;2654;Otros;1115;05-04-20;Estados Unidos;;;;;;;;;;;
2;46;3;Chile;2818;Negocios;2528;03-03-21;Colombia;;;;;;;;;;;
1;38;2;Chile;3211;Ocio;2562;10-01-21;Estados Unidos;;;;;;;;;;;
1;31;4;España;2789;Otros;2009;01-04-22;Francia;;;;;;;;;;;
3;41;4;España;2738;Negocios;1308;05-04-21;Francia;;;;;;;;;;;
4;46;1;España;2597;Negocios;2954;04-04-21;Estados Unidos;;;;;;;;;;;
2;33;1;México;2136;Negocios;1106;07-04-19;Colombia;;;;;;;;;;;
3;31;4;Chile;2717;Ocio;1878;22-12-21;Colombia;;;;;;;;;;;
2;50;2;México;2389;Ocio;1013;04-04-20;Canadá;;;;;;;;;;;
2;44;2;México;2136;Ocio;1009;30-12-20;Estados Unidos;;;;;;;;;;;
2;43;1;México;2167;Ocio;1404;02-04-21;Canadá;;;;;;;;;;;
3;37;3;Chile;2585;Ocio;1699;27-01-22;Brasil;;;;;;;;;;;
4;41;1;España;2480;Otros;2930;13-08-19;Reino Unido;;;;;;;;;;;
3;41;1;España;2473;Negocios;1749;02-09-22;Estados Unidos;;;;;;;;;;;
4;34;3;España;2591;Ocio;2849;07-04-19;Francia;;;;;;;;;;;
2;46;2;México;2134;Negocios;1217;13-01-21;Canadá;;;;;;;;;;;
4;34;4;Chile;3147;Otros;1536;03-04-19;Brasil;;;;;;;;;;;
4;32;4;México;2276;Ocio;1228;05-04-19;Estados Unidos;;;;;;;;;;;
2;47;2;Chile;3178;Negocios;1890;10-03-20;Brasil;;;;;;;;;;;
3;42;1;México;2168;Ocio;1377;02-04-21;España;;;;;;;;;;;
2;42;4;México;2322;Otros;1415;07-04-19;Estados Unidos;;;;;;;;;;;
4;46;4;México;2113;Negocios;1257;21-01-23;Colombia;;;;;;;;;;;
3;41;2;Chile;3037;Negocios;2541;10-03-23;Colombia;;;;;;;;;;;
3;42;3;España;2726;Negocios;2233;07-04-19;Francia;;;;;;;;;;;
2;49;1;España;2665;Negocios;2246;13-09-22;Alemania;;;;;;;;;;;
3;46;3;México;2300;Ocio;1437;03-04-19;Estados Unidos;;;;;;;;;;;
3;38;2;Chile;2706;Ocio;2191;31-12-20;Estados Unidos;;;;;;;;;;;
1;41;1;España;2793;Ocio;1653;07-04-21;Estados Unidos;;;;;;;;;;;
4;47;1;España;2729;Ocio;2105;03-04-19;Suiza;;;;;;;;;;;
1;38;2;Chile;3147;Negocios;2113;03-04-21;Perú;;;;;;;;;;;
4;38;1;México;2346;Otros;1288;06-04-20;Estados Unidos;;;;;;;;;;;
1;39;2;México;2347;Ocio;1040;03-03-22;Cuba;;;;;;;;;;;
1;47;4;México;2104;Ocio;1114;07-04-20;Canadá;;;;;;;;;;;
4;30;4;México;2353;Otros;1145;28-12-19;Cuba;;;;;;;;;;;
2;32;4;Chile;3187;Otros;2255;06-04-21;Estados Unidos;;;;;;;;;;;
2;43;4;México;2022;Negocios;1164;02-04-20;Cuba;;;;;;;;;;;
2;37;1;España;2463;Ocio;2025;26-07-22;Reino Unido;;;;;;;;;;;
4;44;4;Chile;2954;Negocios;2939;07-04-22;Argentina;;;;;;;;;;;
2;33;1;Chile;3147;Otros;1619;03-04-22;Estados Unidos;;;;;;;;;;;
4;43;1;Chile;3142;Negocios;2064;27-02-22;Perú;;;;;;;;;;;
3;33;4;Chile;3114;Otros;2357;09-01-22;Perú;;;;;;;;;;;
3;39;4;Chile;3126;Ocio;2049;08-02-22;Perú;;;;;;;;;;;
1;50;4;España;2579;Ocio;2372;04-04-21;Reino Unido;;;;;;;;;;;
3;38;2;Chile;2576;Ocio;1876;25-01-21;Colombia;;;;;;;;;;;
3;42;2;México;2420;Ocio;1084;14-03-21;España;;;;;;;;;;;
3;47;3;Chile;2764;Negocios;2185;06-04-21;Estados Unidos;;;;;;;;;;;
2;31;1;México;2257;Otros;1334;14-02-20;Colombia;;;;;;;;;;;
4;33;2;Chile;2561;Ocio;2717;05-03-22;Perú;;;;;;;;;;;
3;38;3;España;2655;Otros;1425;22-06-21;Reino Unido;;;;;;;;;;;
1;37;3;Chile;3007;Negocios;2854;17-02-22;Perú;;;;;;;;;;;
4;37;3;España;2730;Negocios;1020;05-04-20;Suiza;;;;;;;;;;;
